radio,mcc,net,area,cell,unit,lon,lat,range_,samples,changeable,created,updated,averagesig,county,subcounty,ward
GSM,639,2,2012,11255,0,39.618455,-4.024234,28227,77,1,1355496715,1467685022,0,Mombasa,Changamwe Sub County,Port Reitz Ward
GSM,639,2,2026,8854,0,39.632394,-4.029628,1000,14,1,1356003818,1487985902,0,Mombasa,Changamwe Sub County,Changamwe Ward
GSM,639,2,2009,9012,0,39.654412,-4.059501,1000,26,1,1356019257,1486231650,0,Mombasa,Mvita  Sub County,Ganjoni Ward-shimanzi Ward
GSM,639,2,3000,25313,0,39.436798,-3.833542,1000,2,1,1356061068,1363001906,0,Kilifi,Kaloleni Sub County,Mariakani Ward
GSM,639,2,2066,8810,0,39.301254,-3.792436,10240,15,1,1356062956,1464735873,0,Kwale,Kinango Sub County,Chengoni/samburu Ward
GSM,639,2,2066,8801,0,39.215088,-3.768311,13993,18,1,1356064704,1464735873,0,Kwale,Kinango Sub County,Chengoni/samburu Ward
GSM,639,2,2066,8654,0,39.048993,-3.73087,4668,55,1,1356066434,1464735873,0,Kwale,Kinango Sub County,Mackinon Road Ward
GSM,639,2,2016,8670,0,38.493659,-3.105573,10280,11,1,1356079663,1486527533,0,TAITA TAVETA,Wundanyi Sub County,Wumingu/kishushe Ward
GSM,639,2,2019,11680,0,38.107796,-2.658348,2787,4,1,1356085643,1479710099,0,MAKUENI,Kibwezi East  Sub County,Ivingoni/Nzambani Ward
GSM,639,2,2019,11844,0,37.996216,-2.48291,1000,2,1,1356089537,1451973335,0,MAKUENI,Kibwezi East  Sub County,Thange Ward
GSM,639,2,2019,11690,0,37.960509,-2.441712,8635,8,1,1356090600,1486632459,0,MAKUENI,Kibwezi East  Sub County,Thange Ward
GSM,639,2,108,18062,0,37.143021,-1.546249,1000,9,1,1356110745,1407142810,0,Machakos,Machakos Sub County,Mua Ward
GSM,639,2,108,64201,0,37.139969,-1.542892,1000,3,1,1356146571,1360124991,0,Machakos,Athi River Sub County,Kinanie Ward
GSM,639,2,4000,12855,0,36.947304,-1.405644,1000,17,1,1356148520,1487379132,0,Machakos,Athi River Sub County,Syokimau-mulolongo Ward
GSM,639,2,4000,14221,0,36.928482,-1.380386,1000,9,1,1356153153,1478752659,0,Machakos,Athi River Sub County,Syokimau-mulolongo Ward
GSM,639,2,4065,8565,0,36.900101,-1.33461,1531,3,1,1356153898,1363765148,0,Nairobi,Embakasi South Sub County,Pipeline Ward
GSM,639,2,25,1180,0,36.920242,-1.316643,1558,4,1,1356163802,1408433919,0,Nairobi,Embakasi East Sub County,Embakasi Ward
GSM,639,2,4065,8564,0,36.897354,-1.326828,1000,3,1,1356176566,1363765071,0,Nairobi,Embakasi South Sub County,Pipeline Ward
GSM,639,2,26,126,0,36.855698,-1.31316,1000,7,1,1356178352,1408433793,0,Nairobi,Makadara  Sub County,Viwandani Ward
GSM,639,2,26,6411,0,36.989878,-1.479514,100423,70,1,1356185411,1378617962,0,Machakos,Athi River Sub County,Athi River Ward
GSM,639,2,27,3682,0,36.872726,-1.305862,1000,5,1,1356207420,1361180861,0,Nairobi,Makadara  Sub County,Viwandani Ward
GSM,639,2,4001,14232,0,37.008499,-1.457382,4334,15,1,1356213667,1482985126,0,Machakos,Athi River Sub County,Athi River Ward
GSM,639,2,107,64292,0,37.472992,-2.079849,1000,6,1,1356222719,1362897617,0,MAKUENI,Kibwezi West  Sub County,Emali/Mulala Ward
GSM,639,2,107,64280,0,37.722244,-2.211685,1000,2,1,1356243064,1363829007,0,MAKUENI,Kibwezi West  Sub County,Makindu Ward
GSM,639,2,2020,11861,0,37.819747924805,-2.2803497314453,1000,1,1,1356246105,1356220932,0,MAKUENI,Kibwezi West  Sub County,Makindu Ward
GSM,639,2,27,6436,0,36.874695,-1.309662,1000,6,1,1356590391,1381895358,0,Nairobi,Makadara  Sub County,Viwandani Ward
GSM,639,2,25,4725,0,36.900101,-1.323166,1000,3,1,1356591736,1364793036,0,Nairobi,Embakasi East Sub County,Utawala Ward
GSM,639,2,4065,112,0,36.86821,-1.330032,1000,9,1,1356595704,1408433919,0,Nairobi,Starehe  Sub County,Nairobi South Ward
GSM,639,2,38,765,0,36.813125610352,-1.2352752685547,1000,1,1,1356598830,1356579013,0,Nairobi,Westlands  Sub County,Karura Ward
GSM,639,2,20,1900,0,36.857758,-1.309433,1000,2,1,1356611439,1360592714,0,Nairobi,Makadara  Sub County,Viwandani Ward
GSM,639,2,27,3581,0,36.884537,-1.30188,1000,2,1,1356638526,1358488393,0,Nairobi,Makadara  Sub County,Viwandani Ward
GSM,639,2,27,6926,0,36.891403198242,-1.3094329833984,1000,1,1,1356639040,1356619229,0,Nairobi,Embakasi East Sub County,Utawala Ward
GSM,639,2,4001,12336,0,36.963403,-1.43364,2863,63,1,1356644301,1487379132,0,Machakos,Athi River Sub County,Mathatani Ward
GSM,639,2,2064,2220,0,36.894304,-1.624376,23651,9,1,1356644301,1489102310,0,KAJIADO,Kajiado East Sub County,Kaputiei north Ward
GSM,639,2,4065,1122,0,36.88385,-1.328888,1000,6,1,1357657519,1364356177,0,Nairobi,Embakasi South Sub County,Imara Daima Ward
GSM,639,2,4065,4530,0,36.893326,-1.338684,3260,10,1,1357657988,1377744026,0,Nairobi,Langata  Sub County,South C Ward
GSM,639,2,4000,13372,0,36.953049,-1.408463,3138,18,1,1357658976,1486952331,0,Machakos,Athi River Sub County,Mathatani Ward
GSM,639,2,4001,12365,0,37.026809,-1.473404,4681,5,1,1357660194,1476941291,0,Machakos,Athi River Sub County,Kinanie Ward
GSM,639,2,108,64206,0,37.128639,-1.53019,1000,4,1,1357661961,1364528081,0,Machakos,Athi River Sub County,Kinanie Ward
GSM,639,2,107,64290,0,37.477112,-2.081223,1000,2,1,1357670725,1362144564,0,MAKUENI,Kibwezi West  Sub County,Emali/Mulala Ward
GSM,639,2,2019,11652,0,38.043594,-2.55724,3819,8,1,1357678570,1450320029,0,MAKUENI,Kibwezi East  Sub County,Thange Ward
GSM,639,2,2015,9364,0,39.548264,-3.969955,1000,3,1,1357713598,1464735873,0,Kwale,Kinango Sub County,Kasemeni Ward
